,RecordNum,Date Time(UTC),PTB110_mb,P4_mb,P1_mb,T1_C,RH1,T_CS215,RH_CS215,Vbat,N1Cts,N2Cts,N3Cts,N4Cts,N5Cts,N6Cts,N7Cts,N8Cts,N1ETsec,N3ETsec,N5ETsec,N7ETsec,N1T(C),N1RH,N5T(C),N5RH,GpsUTC,LatDec,LongDec,Alt,Qual,NumSats,HDOP,Speed_kmh,COG,SpeedQuality,strDate,timestamp,x,y,total_counts,filtered_counts,incoming_flux,corrected_counts,corrected_smoothed,VWC
48,50, 2018/05/01 15:03:00,964.44,964.2,963.4,26.3,36.4,21.4,72.6,12.951,42.0,41.0,43.0,34.0,48.0,30.0,41.0,52.0,60,60,60,60,26.7,22.1,25.9,16.0,145934,38.68178,-97.42757,373.5,1.0,11,0.7,13.54,89.84,A,10518.0,2018-05-01 15:03:00,636771.0555301046,4282637.473269044,331.0,331.0,101.105,358.0,360.0,0.1702631917631918
49,51, 2018/05/01 15:04:00,964.27,964.2,963.4,26.3,36.4,21.6,72.0,12.955,43.0,37.0,46.0,38.0,39.0,36.0,46.0,45.0,60,60,60,60,26.8,22.1,25.9,16.0,150034,38.6818,-97.42059,374.9,1.0,11,0.7,15.0,80.58,A,10518.0,2018-05-01 15:04:00,637378.1764622107,4282650.1327587515,330.0,330.0,101.105,357.0,358.0,0.17511016949152547
50,52, 2018/05/01 15:05:00,964.11,964.0,963.1,26.4,36.4,21.7,70.5,12.952,48.0,47.0,37.0,35.0,41.0,32.0,39.0,41.0,60,60,60,60,26.8,22.1,26.0,16.0,150134,38.68173,-97.41683,377.8,1.0,11,0.7,32.08,90.77,A,10518.0,2018-05-01 15:05:00,637705.3764357817,4282648.00757068,320.0,320.0,101.105,345.0,357.0,0.1775813648293964
51,53, 2018/05/01 15:06:00,963.49,963.6,962.7,26.4,36.3,21.8,70.7,12.949,40.0,40.0,45.0,50.0,30.0,41.0,30.0,31.0,60,60,60,60,26.8,22.1,26.0,16.0,150234,38.68172,-97.40981,383.2,1.0,10,0.8,36.73,88.76,A,10518.0,2018-05-01 15:06:00,638316.03541774,4282657.469392226,307.0,307.0,101.105,330.0,360.0,0.1702631917631918
52,54, 2018/05/01 15:07:00,964.18,964.0,963.3,26.4,36.3,21.6,71.0,12.936,40.0,54.0,45.0,51.0,35.0,51.0,45.0,50.0,60,60,60,60,26.8,22.1,26.0,16.0,150334,38.68107,-97.40488,379.1,1.0,10,0.8,41.23,76.86,A,10518.0,2018-05-01 15:07:00,638746.1307633297,4282592.788124901,371.0,371.0,101.105,400.0,367.0,0.15423891625615768
53,55, 2018/05/01 15:08:00,963.54,963.7,962.9,26.5,36.3,21.3,72.0,12.937,33.0,53.0,44.0,46.0,50.0,38.0,32.0,46.0,60,60,60,60,26.9,22.1,26.0,16.0,150434,38.68182,-97.39709,384.2,1.0,10,0.8,40.89,90.66,A,10518.0,2018-05-01 15:08:00,639422.3009625055,4282687.841407366,342.0,342.0,101.105,367.0,367.0,0.15423891625615768
54,56, 2018/05/01 15:09:00,962.94,962.7,961.8,26.5,36.3,21.1,72.8,12.939,50.0,34.0,50.0,35.0,40.0,44.0,57.0,38.0,60,60,60,60,26.9,22.1,26.1,16.0,150534,38.68182,-97.38924,391.6,1.0,10,0.8,40.87,90.31,A,10518.0,2018-05-01 15:09:00,640105.1394571452,4282699.813165152,348.0,348.0,101.105,372.0,372.0,0.14361350059737152
55,57, 2018/05/01 15:10:00,962.31,962.5,961.5,26.5,36.2,21.0,73.4,12.94,43.0,41.0,55.0,52.0,38.0,48.0,54.0,35.0,60,60,60,60,26.9,22.0,26.1,16.0,150634,38.68182,-97.38123,395.0,1.0,10,0.8,42.41,90.06,A,10518.0,2018-05-01 15:10:00,640801.8962780705,4282712.089262802,366.0,366.0,101.105,389.0,389.0,0.11179718004338393
56,58, 2018/05/01 15:11:00,962.64,962.5,961.7,26.6,36.2,21.1,72.8,12.932,44.0,46.0,52.0,45.0,58.0,44.0,42.0,37.0,60,60,60,60,27.0,22.0,26.1,16.0,150734,38.68183,-97.37305,393.6,1.0,10,0.8,43.0,89.87,A,10518.0,2018-05-01 15:11:00,641513.4216242922,4282725.798543404,368.0,368.0,101.105,392.0,,
57,59, 2018/05/01 15:12:00,962.5,962.6,961.8,26.6,36.2,21.1,73.1,12.938,40.0,55.0,51.0,36.0,44.0,37.0,45.0,43.0,60,60,60,60,27.0,22.0,26.1,16.0,150834,38.68689,-97.37202,391.2,1.0,11,0.8,42.52,359.55,A,10518.0,2018-05-01 15:12:00,641593.0420121247,4283288.922850024,351.0,351.0,101.105,374.0,,
58,60, 2018/05/01 15:13:00,962.46,962.3,961.4,26.6,36.2,21.0,73.5,12.939,52.0,47.0,36.0,54.0,41.0,49.0,44.0,54.0,60,60,60,60,27.0,22.0,26.2,16.0,150934,38.69331,-97.37201,392.5,1.0,11,0.8,42.82,359.63,A,10518.0,2018-05-01 15:13:00,641581.2538943216,4284001.398203934,377.0,377.0,101.105,402.0,,
59,61, 2018/05/01 15:14:00,961.13,961.0,960.3,26.7,36.1,21.1,72.9,12.935,36.0,50.0,31.0,34.0,43.0,48.0,50.0,54.0,60,60,60,60,27.0,22.0,26.2,16.0,151034,38.69636,-97.37575,394.8,1.0,11,0.8,41.58,269.02,A,10518.0,2018-05-01 15:14:00,641249.9781198686,4284334.099491455,346.0,346.0,101.105,365.0,364.0,0.16093412797992468
60,62, 2018/05/01 15:15:00,962.29,962.1,961.4,26.7,36.1,21.1,72.2,12.937,39.0,37.0,41.0,40.0,32.0,43.0,33.0,46.0,60,60,60,60,27.1,22.0,26.2,16.0,151134,38.69632,-97.38364,385.9,1.0,12,0.8,40.74,269.12,A,10518.0,2018-05-01 15:15:00,640563.8765342,4284317.525401458,311.0,311.0,101.105,331.0,350.0,0.1958314993122421
61,63, 2018/05/01 15:16:00,963.14,962.8,962.0,26.7,36.1,21.2,72.4,12.934,42.0,52.0,50.0,22.0,30.0,37.0,46.0,46.0,60,60,60,60,27.1,22.0,26.2,16.0,151234,38.69672,-97.39057,388.3,1.0,12,0.8,40.3,0.85,A,10518.0,2018-05-01 15:16:00,639960.4065866548,4284351.305587647,325.0,325.0,101.105,348.0,346.0,0.2070714285714285
62,64, 2018/05/01 15:17:00,962.28,962.2,961.4,26.8,36.2,21.0,73.5,12.938,55.0,56.0,34.0,37.0,47.0,35.0,42.0,50.0,60,60,60,60,27.1,22.0,26.2,16.0,151334,38.69979,-97.39055,394.3,1.0,12,0.8,0.0,359.46,A,10518.0,2018-05-01 15:17:00,639956.1609232042,4284692.029335802,356.0,356.0,101.105,379.0,343.0,0.21592774566473982
63,65, 2018/05/01 15:18:00,962.32,962.1,961.3,26.8,36.1,20.7,74.4,12.936,44.0,52.0,34.0,39.0,42.0,35.0,36.0,39.0,60,60,60,60,27.1,22.0,26.2,16.0,151434,38.70013,-97.39057,395.9,1.0,11,0.8,33.5,0.72,A,10518.0,2018-05-01 15:18:00,639953.7587898737,4284729.73028457,321.0,321.0,101.105,341.0,343.0,0.21592774566473982
64,66, 2018/05/01 15:19:00,962.21,962.3,961.5,26.8,36.0,20.8,74.6,12.935,33.0,38.0,36.0,33.0,35.0,41.0,48.0,51.0,60,60,60,60,27.1,22.0,26.3,15.9,151534,38.7063,-97.39053,396.4,1.0,10,0.9,41.21,0.22,A,10518.0,2018-05-01 15:19:00,639945.2073533252,4285414.50757039,315.0,315.0,101.105,335.0,,
65,67, 2018/05/01 15:20:00,962.85,962.5,961.8,26.8,36.1,20.9,74.5,12.938,41.0,35.0,41.0,43.0,48.0,43.0,43.0,42.0,60,60,60,60,27.2,22.0,26.3,16.0,151634,38.71224,-97.39046,390.9,1.0,11,0.8,41.06,0.15,A,10518.0,2018-05-01 15:20:00,639939.7107028242,4286073.807067842,336.0,336.0,101.105,359.0,,
66,68, 2018/05/01 15:21:00,963.92,963.9,963.2,26.8,36.0,20.9,74.5,12.936,35.0,45.0,43.0,43.0,41.0,42.0,46.0,42.0,60,60,60,60,27.2,22.0,26.3,16.0,151734,38.71842,-97.39045,381.1,1.0,11,0.8,41.08,359.91,A,10518.0,2018-05-01 15:21:00,639928.5269109217,4286759.649592358,337.0,337.0,101.105,363.0,363.0,0.16322222222222216
67,69, 2018/05/01 15:22:00,962.44,962.6,961.8,26.9,36.0,21.0,73.7,12.937,31.0,36.0,44.0,37.0,27.0,43.0,40.0,50.0,60,60,60,60,27.2,22.0,26.3,15.9,151834,38.72458,-97.39047,390.8,1.0,11,0.8,42.98,359.29,A,10518.0,2018-05-01 15:22:00,639914.7723315863,4287443.227434732,308.0,308.0,101.105,328.0,328.0,0.26666855753646684
68,70, 2018/05/01 15:23:00,963.06,962.8,962.1,26.9,36.0,21.0,73.2,12.933,44.0,50.0,37.0,45.0,49.0,31.0,43.0,29.0,60,60,60,60,27.2,21.9,26.3,15.9,151934,38.73084,-97.3905,386.6,1.0,11,0.8,41.28,2.28,A,10518.0,2018-05-01 15:23:00,639899.952066148,4288137.8882133765,328.0,328.0,101.105,351.0,351.0,0.1931174863387978
69,71, 2018/05/01 15:24:00,962.83,962.5,961.8,26.9,36.0,21.0,73.7,12.936,49.0,35.0,51.0,44.0,31.0,38.0,43.0,40.0,60,60,60,60,27.2,21.9,26.4,15.9,152034,38.73701,-97.39053,389.6,1.0,11,0.8,41.13,0.28,A,10518.0,2018-05-01 15:24:00,639885.3061886281,4288822.561866022,331.0,331.0,101.105,354.0,,
70,72, 2018/05/01 15:25:00,961.9,961.6,960.9,27.0,36.1,20.8,74.2,12.933,33.0,45.0,38.0,42.0,33.0,44.0,43.0,37.0,60,60,60,60,27.3,21.9,26.4,15.9,152134,38.74289,-97.3905,396.7,1.0,11,0.8,40.86,0.41,A,10518.0,2018-05-01 15:25:00,639876.4397506841,4289475.144908262,315.0,,101.105,,,
71,73, 2018/05/01 15:26:00,961.53,961.6,960.9,27.0,36.1,20.7,75.1,12.931,48.0,38.0,46.0,35.0,41.0,44.0,37.0,45.0,60,60,60,60,27.3,21.9,26.4,15.9,152234,38.74906,-97.39043,400.1,2.0,11,0.8,41.28,0.8,A,10518.0,2018-05-01 15:26:00,639870.4815612916,4290159.972702447,334.0,334.0,101.105,353.0,,
72,74, 2018/05/01 15:27:00,963.29,962.3,961.6,27.0,36.2,21.0,73.4,12.933,39.0,47.0,41.0,44.0,33.0,41.0,40.0,46.0,60,60,59,60,27.3,21.9,26.4,15.9,152334,38.75421,-97.39091,384.2,1.0,10,0.8,39.58,270.65,A,10518.0,2018-05-01 15:27:00,639818.7179834552,4290730.765102546,331.0,331.0,101.105,355.0,340.0,0.22517651403249633
73,75, 2018/05/01 15:28:00,962.54,962.4,961.8,27.1,36.1,21.5,71.7,12.936,39.0,37.0,42.0,33.0,27.0,39.0,41.0,42.0,60,60,59,60,27.3,21.9,26.4,15.9,152434,38.75425,-97.39893,387.6,2.0,12,0.8,40.52,270.83,A,10518.0,2018-05-01 15:28:00,639121.7184004958,4290722.979565494,300.0,300.0,101.105,320.0,340.0,0.22517651403249633
74,76, 2018/05/01 15:29:00,962.52,962.4,961.7,27.1,36.1,21.5,71.4,12.934,36.0,41.0,41.0,28.0,38.0,41.0,49.0,28.0,60,60,59,60,27.3,21.9,26.4,15.9,152534,38.75434,-97.40682,385.9,2.0,12,0.8,41.17,270.87,A,10518.0,2018-05-01 15:29:00,638435.9202954348,4290721.000609486,302.0,302.0,101.105,322.0,360.0,0.1702631917631918
75,77, 2018/05/01 15:30:00,964.1,964.1,963.3,27.1,36.1,21.4,72.9,12.933,34.0,45.0,30.0,33.0,35.0,50.0,46.0,54.0,60,60,59,60,27.3,21.9,26.5,15.9,152634,38.75827,-97.409,382.5,2.0,11,0.8,41.02,0.62,A,10518.0,2018-05-01 15:30:00,638238.8999156993,4291153.839450663,327.0,327.0,101.105,353.0,353.0,0.18779919137466303
76,78, 2018/05/01 15:31:00,963.83,964.1,963.3,27.1,36.2,21.3,73.6,12.934,39.0,45.0,32.0,42.0,31.0,47.0,39.0,34.0,60,60,59,60,27.4,21.9,26.5,15.9,152734,38.76446,-97.40894,382.2,2.0,11,0.8,41.84,0.04,A,10518.0,2018-05-01 15:31:00,638232.1674460447,4291840.870751755,309.0,309.0,100.113,336.0,346.0,0.2070714285714285
77,79, 2018/05/01 15:32:00,964.93,964.9,964.2,27.2,36.3,21.3,75.3,12.929,40.0,37.0,48.0,41.0,44.0,46.0,39.0,45.0,60,60,59,60,27.4,21.9,26.5,15.9,152834,38.76879,-97.40894,372.0,2.0,11,0.8,25.02,167.99,A,10518.0,2018-05-01 15:32:00,638223.8100412262,4292321.396675027,340.0,340.0,100.113,374.0,339.0,0.22835119047619054
78,80, 2018/05/01 15:33:00,963.49,963.6,962.9,27.2,36.2,21.3,73.6,12.932,52.0,51.0,37.0,34.0,35.0,41.0,31.0,31.0,60,60,59,60,27.4,21.9,26.5,15.9,152934,38.76264,-97.40895,382.2,1.0,11,0.8,41.13,179.76,A,10518.0,2018-05-01 15:33:00,638234.8111454251,4291638.879485677,312.0,312.0,100.113,339.0,346.0,0.2070714285714285
79,81, 2018/05/01 15:34:00,963.43,963.4,962.7,27.2,36.2,21.3,74.0,12.94,61.0,38.0,41.0,25.0,49.0,43.0,42.0,49.0,60,60,59,60,27.4,21.9,26.5,15.9,153034,38.75649,-97.40901,377.3,1.0,11,0.8,40.87,180.38,A,10518.0,2018-05-01 15:34:00,638241.4657472615,4290956.287416545,348.0,348.0,100.113,378.0,367.0,0.15423891625615768
80,82, 2018/05/01 15:35:00,963.25,963.4,962.7,27.2,36.2,21.3,73.0,12.933,43.0,44.0,40.0,41.0,41.0,48.0,44.0,44.0,60,60,59,60,27.4,21.8,26.6,15.9,153134,38.75029,-97.40903,380.6,2.0,11,0.8,41.36,179.2,A,10518.0,2018-05-01 15:35:00,638251.6904234699,4290268.2076719245,345.0,345.0,100.113,374.0,368.0,0.152061811505508
81,83, 2018/05/01 15:36:00,964.01,963.7,962.9,27.2,36.3,21.1,74.2,12.937,45.0,45.0,32.0,48.0,39.0,47.0,48.0,34.0,60,59,59,60,27.5,21.9,26.6,15.9,153234,38.74414,-97.40901,378.6,2.0,11,0.8,40.89,181.19,A,10518.0,2018-05-01 15:36:00,638265.2931259854,4289585.737813836,338.0,338.0,100.113,368.0,371.0,0.14568750000000003
82,84, 2018/05/01 15:37:00,962.76,962.5,961.9,27.3,36.3,21.0,73.8,12.922,50.0,44.0,36.0,49.0,45.0,44.0,46.0,48.0,60,59,59,60,27.5,21.9,26.6,15.9,153334,38.73798,-97.40897,387.7,2.0,11,0.8,40.91,179.54,A,10518.0,2018-05-01 15:37:00,638280.6521680411,4288902.189077467,362.0,362.0,100.113,390.0,372.0,0.14361350059737152
83,85, 2018/05/01 15:38:00,963.54,963.4,962.6,27.3,36.4,21.2,73.8,12.939,49.0,36.0,38.0,41.0,48.0,40.0,45.0,48.0,60,59,59,60,27.5,21.8,26.6,15.9,153434,38.73182,-97.40894,377.4,1.0,11,0.8,41.19,179.72,A,10518.0,2018-05-01 15:38:00,638295.1409537289,4288218.6258968115,345.0,345.0,100.113,375.0,375.0,0.13753755868544607
84,86, 2018/05/01 15:39:00,963.78,964.0,963.4,27.3,36.4,21.1,73.5,12.939,57.0,35.0,35.0,48.0,47.0,35.0,48.0,59.0,60,59,59,60,27.5,21.8,26.6,15.9,153534,38.72564,-97.4089,373.8,2.0,11,0.8,41.23,179.74,A,10518.0,2018-05-01 15:39:00,638310.5364773541,4287532.858980869,364.0,,100.113,,,
85,87, 2018/05/01 15:40:00,964.04,963.8,963.1,27.3,36.5,21.1,73.8,12.937,38.0,40.0,48.0,44.0,43.0,37.0,44.0,40.0,60,59,59,60,27.5,21.8,26.6,15.9,153634,38.71948,-97.4089,373.6,2.0,11,0.8,41.08,180.56,A,10518.0,2018-05-01 15:40:00,638322.4148216106,4286849.251810973,334.0,,100.113,,,
86,88, 2018/05/01 15:41:00,962.08,962.0,961.2,27.4,36.4,21.1,73.1,12.937,31.0,43.0,41.0,38.0,41.0,44.0,39.0,51.0,60,59,60,60,27.5,21.8,26.6,15.9,153734,38.71335,-97.40892,391.3,2.0,11,0.8,40.61,180.59,A,10518.0,2018-05-01 15:41:00,638332.4947754785,4286168.944348906,328.0,,100.113,,,
87,89, 2018/05/01 15:42:00,962.84,962.5,961.8,27.4,36.5,21.0,72.9,12.929,41.0,49.0,47.0,25.0,29.0,47.0,49.0,40.0,60,59,60,60,27.6,21.8,26.6,15.9,153834,38.70821,-97.40895,392.7,2.0,11,0.8,40.15,181.2,A,10518.0,2018-05-01 15:42:00,638339.7949563214,4285598.487625739,327.0,,100.113,,,
88,90, 2018/05/01 15:43:00,962.92,962.9,962.2,27.4,36.5,21.1,72.7,12.94,43.0,47.0,29.0,47.0,29.0,41.0,51.0,41.0,60,59,60,60,27.6,21.8,26.7,15.9,153934,38.70201,-97.40909,390.1,2.0,11,0.8,40.91,180.64,A,10518.0,2018-05-01 15:43:00,638339.5709171869,4284910.231918277,328.0,,100.113,,,
89,91, 2018/05/01 15:44:00,963.65,963.4,962.6,27.4,36.6,21.2,73.2,12.938,49.0,55.0,37.0,43.0,35.0,40.0,44.0,39.0,60,59,60,60,27.6,21.9,26.7,15.9,154034,38.69594,-97.40913,384.8,2.0,11,0.8,37.48,177.99,A,10518.0,2018-05-01 15:44:00,638347.7895210811,4284236.5546406945,342.0,342.0,100.113,371.0,,
90,92, 2018/05/01 15:45:00,963.64,963.6,962.9,27.4,36.5,21.1,73.1,12.937,43.0,43.0,51.0,45.0,47.0,35.0,45.0,32.0,60,59,60,60,27.6,21.9,26.7,15.9,154134,38.69046,-97.4091,383.9,2.0,11,0.8,40.65,180.7,A,10518.0,2018-05-01 15:45:00,638360.9575433843,4283628.458741983,341.0,341.0,100.113,370.0,373.0,0.14156413301662707
91,93, 2018/05/01 15:46:00,963.72,963.8,963.1,27.5,36.5,21.3,72.8,12.932,35.0,43.0,40.0,45.0,55.0,39.0,48.0,40.0,60,59,60,60,27.6,21.9,26.7,15.9,154234,38.6843,-97.40913,382.2,2.0,10,0.9,41.08,180.03,A,10518.0,2018-05-01 15:46:00,638370.2157508492,4282944.810095364,345.0,345.0,100.113,375.0,365.0,0.1586745635910224
92,94, 2018/05/01 15:47:00,962.28,962.0,961.4,27.5,36.5,21.3,72.9,12.932,32.0,39.0,46.0,37.0,44.0,45.0,54.0,38.0,60,59,60,60,27.6,21.9,26.7,15.9,154334,38.68177,-97.41277,386.8,1.0,11,0.8,39.52,270.08,A,10518.0,2018-05-01 15:47:00,638058.4615119398,4282658.554880583,335.0,335.0,100.113,360.0,357.0,0.1775813648293964
93,95, 2018/05/01 15:48:00,964.35,964.4,963.7,27.5,36.5,21.4,73.0,12.938,60.0,46.0,31.0,33.0,35.0,39.0,45.0,38.0,60,59,60,60,27.6,21.8,26.7,15.9,154434,38.68195,-97.41914,373.1,1.0,09,1.0,7.09,291.45,A,10518.0,2018-05-01 15:48:00,637504.0184134482,4282668.953485289,327.0,327.0,100.113,357.0,358.0,0.17511016949152547
94,96, 2018/05/01 15:49:00,963.43,963.5,962.7,27.5,36.6,21.4,72.5,12.936,36.0,58.0,36.0,41.0,46.0,41.0,40.0,39.0,60,59,60,60,27.6,21.8,26.8,15.9,154534,38.6818,-97.42329,373.9,1.0,09,1.0,40.97,270.68,A,10518.0,2018-05-01 15:49:00,637143.3154733127,4282646.088873944,337.0,337.0,100.113,365.0,358.0,0.17511016949152547
95,97, 2018/05/01 15:50:00,964.34,964.2,963.5,27.6,36.6,21.4,72.6,12.937,42.0,45.0,39.0,36.0,42.0,32.0,55.0,47.0,60,59,60,60,27.7,21.8,26.8,15.9,154634,38.6838,-97.42754,371.0,1.0,09,1.0,41.13,358.78,A,10518.0,2018-05-01 15:50:00,636769.8189455855,4282861.686068695,338.0,338.0,100.113,369.0,358.0,0.17511016949152547
96,98, 2018/05/01 15:51:00,964.23,964.3,963.6,27.6,36.7,21.3,73.2,12.935,28.0,43.0,42.0,30.0,50.0,39.0,51.0,44.0,60,60,60,60,27.7,21.8,26.8,15.9,154734,38.68997,-97.42753,370.8,1.0,09,1.0,41.08,0.07,A,10518.0,2018-05-01 15:51:00,636758.9397507728,4283546.412691095,327.0,327.0,100.113,357.0,,
97,99, 2018/05/01 15:52:00,964.41,964.5,963.9,27.6,36.6,21.5,72.0,12.936,46.0,40.0,44.0,48.0,53.0,44.0,42.0,43.0,60,60,60,60,27.7,21.8,26.8,15.9,154834,38.69606,-97.42753,369.3,1.0,09,1.0,23.24,1.61,A,10518.0,2018-05-01 15:52:00,636747.34150205,4284222.2470986,360.0,,100.113,,,
